,Jan 1991,Feb 1991,Mar 1991,Apr 1991,May 1991,Jun 1991,Jul 1991,Aug 1991,Sep 1991,Oct 1991,Nov 1991,Dec 1991
Distributed Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.712,0.768,1.058,1.166,1.287,1.298,1.363,1.349,1.23,1.121,0.92,0.873
Commercial,1.07,1.153,1.589,1.752,1.934,1.951,2.048,2.027,1.849,1.685,1.382,1.312
Industrial,0.237,0.255,0.352,0.388,0.428,0.432,0.454,0.449,0.409,0.373,0.306,0.291
Total,2.019,2.176,2.999,3.305,3.649,3.682,3.865,3.825,3.488,3.179,2.608,2.475
Utility-Scale Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,19.928,21.482,6.077,6.501,62.751,67.133,82.396,71.514,60.207,35.616,25.157,13.003
Total,19.928,21.482,6.077,6.501,62.751,67.133,82.396,71.514,60.207,35.616,25.157,13.003
Total,21.947,23.659,9.076,9.806,66.4,70.814,86.261,75.338,63.696,38.795,27.765,15.478
