,Jan 2002,Feb 2002,Mar 2002,Apr 2002,May 2002,Jun 2002,Jul 2002,Aug 2002,Sep 2002,Oct 2002,Nov 2002,Dec 2002
Distributed Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,3.025,3.261,4.493,4.952,5.467,5.516,5.791,5.731,5.227,4.764,3.908,3.709
Commercial,4.546,4.901,6.753,7.442,8.216,8.29,8.703,8.612,7.855,7.159,5.872,5.574
Industrial,1.007,1.085,1.495,1.648,1.819,1.836,1.927,1.907,1.739,1.585,1.3,1.234
Total,8.578,9.247,12.741,14.042,15.502,15.642,16.421,16.25,14.821,13.508,11.08,10.518
Utility-Scale Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,11.32,23.565,44.397,45.858,57.64,95.543,85.537,74.925,52.608,30.956,28.175,4.307
Total,11.32,23.565,44.397,45.858,57.64,95.543,85.537,74.925,52.608,30.956,28.175,4.307
Total,19.898,32.812,57.138,59.9,73.142,111.185,101.958,91.175,67.429,44.464,39.255,14.825
