,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018
Distributed Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat,3.583,3.909,5.386,6.07,6.678,6.789,6.982,6.696,5.947,5.326,4.248,3.935
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,8.496,9.289,12.844,14.704,16.193,16.521,16.94,16.231,14.232,12.819,10.261,9.44
Commercial,5.036,5.522,7.493,8.29,9.085,9.205,9.509,9.109,8.203,7.239,5.753,5.441
Industrial,1.344,1.423,2.027,2.21,2.451,2.463,2.544,2.465,2.26,2.057,1.624,1.461
Total,14.876,16.233,22.364,25.204,27.729,28.189,28.993,27.805,24.696,22.115,17.637,16.341
Total,18.459,20.143,27.75,31.274,34.407,34.977,35.975,34.502,30.643,27.441,21.885,20.277
Utility-Scale Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.261,0.327,0.415,0.525,0.603,0.746,0.628,0.649,0.612,0.462,0.317,0.255
Industrial,0.041,0.05,0.063,0.077,0.083,0.098,0.087,0.099,0.089,0.072,0.052,0.041
Electric Power,31.091,37.517,47.457,56.969,64.449,71.051,63.208,63.566,58.899,47.589,36.099,29.077
Total,31.393,37.894,47.935,57.57,65.135,71.895,63.923,64.314,59.6,48.122,36.467,29.373
Total,49.852,58.036,75.685,88.844,99.541,106.872,99.898,98.816,90.243,75.563,58.352,49.65
