,Jan 2003,Feb 2003,Mar 2003,Apr 2003,May 2003,Jun 2003,Jul 2003,Aug 2003,Sep 2003,Oct 2003,Nov 2003,Dec 2003
Distributed Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat,2.771,2.987,4.116,4.536,5.008,5.053,5.304,5.249,4.788,4.364,3.579,3.398
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.036,0.039,0.053,0.059,0.065,0.065,0.068,0.068,0.062,0.056,0.046,0.044
Commercial,0.054,0.058,0.08,0.088,0.097,0.098,0.103,0.102,0.093,0.085,0.069,0.066
Industrial,0.012,0.013,0.018,0.019,0.022,0.022,0.023,0.023,0.021,0.019,0.015,0.015
Total,0.101,0.109,0.151,0.166,0.183,0.185,0.194,0.192,0.175,0.16,0.131,0.124
Total,2.873,3.096,4.266,4.702,5.191,5.238,5.499,5.441,4.963,4.523,3.71,3.522
Utility-Scale Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,0.134,0.181,0.507,0.611,0.688,0.918,0.632,0.628,0.566,0.359,0.142,0.043
Total,0.134,0.181,0.507,0.611,0.688,0.918,0.632,0.628,0.566,0.359,0.142,0.043
Total,3.006,3.277,4.773,5.313,5.879,6.156,6.13,6.069,5.528,4.882,3.852,3.565
