,Jan 1991,Feb 1991,Mar 1991,Apr 1991,May 1991,Jun 1991,Jul 1991,Aug 1991,Sep 1991,Oct 1991,Nov 1991,Dec 1991
Distributed Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat,3.051,3.288,4.531,4.994,5.513,5.562,5.839,5.779,5.27,4.804,3.94,3.74
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.007,0.008,0.011,0.012,0.013,0.014,0.014,0.014,0.013,0.012,0.01,0.009
Commercial,0.011,0.012,0.017,0.018,0.02,0.02,0.021,0.021,0.019,0.018,0.014,0.014
Industrial,0.002,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.004,0.004,0.003,0.003
Total,0.021,0.023,0.031,0.034,0.038,0.038,0.04,0.04,0.036,0.033,0.027,0.026
Total,3.072,3.311,4.562,5.028,5.551,5.601,5.88,5.819,5.307,4.837,3.967,3.766
Utility-Scale Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,0.208,0.224,0.063,0.068,0.655,0.701,0.86,0.746,0.628,0.372,0.263,0.136
Total,0.208,0.224,0.063,0.068,0.655,0.701,0.86,0.746,0.628,0.372,0.263,0.136
Total,3.28,3.535,4.626,5.096,6.206,6.301,6.739,6.565,5.935,5.208,4.23,3.902
