,Jan 2002,Feb 2002,Mar 2002,Apr 2002,May 2002,Jun 2002,Jul 2002,Aug 2002,Sep 2002,Oct 2002,Nov 2002,Dec 2002
Distributed Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat,2.856,3.079,4.242,4.676,5.162,5.208,5.467,5.411,4.935,4.498,3.689,3.502
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.031,0.033,0.046,0.05,0.056,0.056,0.059,0.058,0.053,0.048,0.04,0.038
Commercial,0.046,0.05,0.069,0.076,0.084,0.084,0.089,0.088,0.08,0.073,0.06,0.057
Industrial,0.01,0.011,0.015,0.017,0.019,0.019,0.02,0.019,0.018,0.016,0.013,0.013
Total,0.087,0.094,0.13,0.143,0.158,0.159,0.167,0.165,0.151,0.137,0.113,0.107
Total,2.944,3.173,4.372,4.818,5.319,5.367,5.634,5.576,5.086,4.635,3.802,3.609
Utility-Scale Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,0.115,0.24,0.452,0.467,0.586,0.972,0.87,0.762,0.535,0.315,0.287,0.044
Total,0.115,0.24,0.452,0.467,0.586,0.972,0.87,0.762,0.535,0.315,0.287,0.044
Total,3.059,3.413,4.824,5.285,5.906,6.339,6.505,6.338,5.621,4.95,4.089,3.653
