,Jan 2005,Feb 2005,Mar 2005,Apr 2005,May 2005,Jun 2005,Jul 2005,Aug 2005,Sep 2005,Oct 2005,Nov 2005,Dec 2005
Distributed Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat,2.652,2.859,3.939,4.341,4.793,4.836,5.076,5.024,4.582,4.176,3.426,3.252
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.066,0.071,0.097,0.107,0.119,0.12,0.126,0.124,0.113,0.103,0.085,0.08
Commercial,0.099,0.106,0.147,0.161,0.178,0.18,0.189,0.187,0.17,0.155,0.127,0.121
Industrial,0.022,0.024,0.032,0.036,0.039,0.04,0.042,0.041,0.038,0.034,0.028,0.027
Total,0.186,0.201,0.276,0.305,0.336,0.339,0.356,0.353,0.322,0.293,0.24,0.228
Total,2.838,3.059,4.215,4.646,5.129,5.175,5.433,5.376,4.904,4.469,3.666,3.48
Utility-Scale Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,0.087,0.131,0.382,0.583,0.811,0.885,0.723,0.758,0.611,0.377,0.128,0.028
Total,0.087,0.131,0.382,0.583,0.811,0.885,0.723,0.758,0.611,0.377,0.128,0.028
Total,2.925,3.19,4.597,5.229,5.94,6.06,6.156,6.135,5.515,4.846,3.794,3.508
