,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014
Distributed Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat,3.464,3.685,5.035,5.486,6.061,6.109,6.375,6.323,5.808,5.356,4.395,4.252
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,2.499,2.634,3.636,4.0,4.453,4.547,4.778,4.783,4.488,4.236,3.545,3.452
Commercial,2.849,3.059,4.107,4.438,4.873,4.848,5.029,4.946,4.456,3.987,3.218,3.126
Industrial,0.587,0.621,0.883,0.962,1.059,1.071,1.115,1.104,1.007,0.953,0.766,0.708
Total,5.935,6.313,8.626,9.4,10.385,10.466,10.922,10.833,9.951,9.176,7.53,7.285
Total,9.398,9.998,13.66,14.886,16.446,16.575,17.298,17.156,15.759,14.532,11.925,11.537
Utility-Scale Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.156,0.192,0.279,0.31,0.36,0.369,0.359,0.371,0.335,0.339,0.262,0.193
Industrial,0.007,0.009,0.013,0.015,0.016,0.017,0.017,0.017,0.015,0.013,0.011,0.007
Electric Power,6.981,7.74,12.234,13.817,16.263,17.905,16.626,17.486,17.075,15.976,12.847,9.612
Total,7.143,7.941,12.526,14.142,16.639,18.291,17.001,17.874,17.425,16.328,13.12,9.812
Total,16.541,17.938,26.186,29.029,33.086,34.866,34.299,35.03,33.184,30.86,25.045,21.349
