,Jan 2019
Distributed Solar Energy,0.0
Heat,3.58
Electricity,0.0
Residential,10.341
Commercial,5.961
Industrial,1.549
Total,17.851
Total,21.431
Utility-Scale Solar Energy,0.0
Commercial,0.283
Industrial,0.044
Electric Power,33.319
Total,33.646
Total,55.076
