,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009
Distributed Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat,2.956,3.186,4.39,4.838,5.341,5.39,5.658,5.599,5.107,4.654,3.818,3.624
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.285,0.307,0.423,0.467,0.515,0.52,0.546,0.54,0.492,0.449,0.368,0.349
Commercial,0.428,0.462,0.636,0.701,0.774,0.781,0.82,0.811,0.74,0.674,0.553,0.525
Industrial,0.095,0.102,0.141,0.155,0.171,0.173,0.182,0.18,0.164,0.149,0.123,0.116
Total,0.808,0.871,1.2,1.323,1.461,1.474,1.547,1.531,1.396,1.273,1.044,0.991
Total,3.764,4.057,5.59,6.161,6.802,6.863,7.205,7.13,6.503,5.927,4.862,4.615
Utility-Scale Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,0.07,0.297,0.762,0.97,1.078,1.009,1.183,1.135,0.927,0.665,0.394,0.207
Total,0.07,0.297,0.762,0.97,1.078,1.009,1.183,1.135,0.927,0.665,0.394,0.207
Total,3.834,4.354,6.353,7.132,7.88,7.873,8.388,8.265,7.43,6.592,5.256,4.822
