,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006
Distributed Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat,2.749,2.964,4.083,4.5,4.968,5.013,5.262,5.208,4.75,4.329,3.551,3.371
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.095,0.102,0.141,0.155,0.172,0.173,0.182,0.18,0.164,0.15,0.123,0.116
Commercial,0.143,0.154,0.212,0.234,0.258,0.26,0.273,0.27,0.247,0.225,0.184,0.175
Industrial,0.032,0.034,0.047,0.052,0.057,0.058,0.06,0.06,0.055,0.05,0.041,0.039
Total,0.269,0.29,0.4,0.441,0.487,0.491,0.516,0.51,0.465,0.424,0.348,0.33
Total,3.019,3.254,4.483,4.941,5.455,5.504,5.778,5.718,5.215,4.753,3.899,3.701
Utility-Scale Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,0.128,0.194,0.331,0.517,0.702,0.691,0.612,0.823,0.536,0.32,0.156,0.027
Total,0.128,0.194,0.331,0.517,0.702,0.691,0.612,0.823,0.536,0.32,0.156,0.027
Total,3.147,3.448,4.815,5.458,6.156,6.195,6.39,6.541,5.751,5.073,4.054,3.728
