,Jan 2019,Feb 2019
Distributed Solar Energy,0.0,0.0
Heat,3.58,3.906
Electricity,0.0,0.0
Residential,10.341,11.232
Commercial,5.961,6.339
Industrial,1.549,1.642
Total,17.851,19.213
Total,21.431,23.119
Utility-Scale Solar Energy,0.0,0.0
Commercial,0.283,0.306
Industrial,0.044,0.049
Electric Power,33.319,35.697
Total,33.646,36.052
Total,55.076,59.171
