,Jan 1998,Feb 1998,Mar 1998,Apr 1998,May 1998,Jun 1998,Jul 1998,Aug 1998,Sep 1998,Oct 1998,Nov 1998,Dec 1998
Distributed Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat,3.33,3.59,4.946,5.451,6.018,6.072,6.374,6.308,5.754,5.244,4.301,4.083
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.016,0.018,0.024,0.027,0.029,0.03,0.031,0.031,0.028,0.026,0.021,0.02
Commercial,0.025,0.026,0.036,0.04,0.044,0.045,0.047,0.046,0.042,0.039,0.032,0.03
Industrial,0.005,0.006,0.008,0.009,0.01,0.01,0.01,0.01,0.009,0.009,0.007,0.007
Total,0.046,0.05,0.069,0.076,0.084,0.084,0.089,0.088,0.08,0.073,0.06,0.057
Total,3.376,3.64,5.015,5.527,6.102,6.156,6.463,6.396,5.833,5.317,4.361,4.14
Utility-Scale Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,0.09,0.069,0.509,0.566,0.385,0.682,0.826,0.743,0.529,0.383,0.206,0.138
Total,0.09,0.069,0.509,0.566,0.385,0.682,0.826,0.743,0.529,0.383,0.206,0.138
Total,3.466,3.709,5.523,6.093,6.486,6.838,7.289,7.139,6.362,5.699,4.567,4.278
