,Jan 1993,Feb 1993,Mar 1993,Apr 1993,May 1993,Jun 1993,Jul 1993,Aug 1993,Sep 1993,Oct 1993,Nov 1993,Dec 1993
Distributed Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat,3.248,3.501,4.824,5.317,5.87,5.923,6.218,6.153,5.612,5.115,4.196,3.982
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.009,0.01,0.013,0.014,0.016,0.016,0.017,0.017,0.015,0.014,0.011,0.011
Commercial,0.013,0.014,0.02,0.022,0.024,0.024,0.025,0.025,0.023,0.021,0.017,0.016
Industrial,0.003,0.003,0.004,0.005,0.005,0.005,0.006,0.006,0.005,0.005,0.004,0.004
Total,0.025,0.027,0.037,0.041,0.045,0.046,0.048,0.048,0.043,0.04,0.032,0.031
Total,3.273,3.528,4.862,5.358,5.915,5.969,6.266,6.201,5.655,5.154,4.228,4.013
Utility-Scale Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,0.097,0.183,0.356,0.558,0.51,0.365,0.643,0.703,0.583,0.35,0.276,0.143
Total,0.097,0.183,0.356,0.558,0.51,0.365,0.643,0.703,0.583,0.35,0.276,0.143
Total,3.37,3.712,5.218,5.916,6.426,6.333,6.909,6.904,6.238,5.504,4.504,4.156
