,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015
Distributed Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat,3.32,3.628,5.041,5.619,6.199,6.262,6.612,6.529,5.913,5.326,4.367,4.065
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,3.166,3.492,4.99,5.68,6.301,6.46,6.903,6.948,6.332,5.758,4.798,4.393
Commercial,3.049,3.319,4.46,4.889,5.346,5.321,5.554,5.362,4.803,4.241,3.421,3.253
Industrial,0.741,0.791,1.114,1.206,1.342,1.34,1.397,1.371,1.256,1.163,0.933,0.871
Total,6.956,7.602,10.564,11.775,12.989,13.121,13.854,13.681,12.391,11.161,9.152,8.517
Total,10.276,11.23,15.605,17.394,19.188,19.383,20.466,20.209,18.304,16.488,13.519,12.582
Utility-Scale Solar Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.189,0.215,0.309,0.365,0.427,0.405,0.423,0.427,0.349,0.303,0.249,0.22
Industrial,0.009,0.011,0.017,0.02,0.021,0.02,0.021,0.022,0.018,0.016,0.013,0.009
Electric Power,10.569,13.6,18.986,21.786,22.888,23.41,24.038,24.596,20.294,17.477,15.857,14.4
Total,10.767,13.825,19.311,22.171,23.336,23.834,24.482,25.045,20.661,17.795,16.119,14.63
Total,21.042,25.055,34.916,39.565,42.524,43.217,44.948,45.255,38.966,34.283,29.638,27.212
