,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,1.156,1.06,1.206,1.347,1.426,1.141,1.055,0.857,0.69,0.772,1.114,0.914
Geothermal,0.357,0.322,0.357,0.345,0.357,0.345,0.357,0.357,0.345,0.357,0.345,0.357
Solar,1.144,1.277,1.84,1.999,2.234,2.265,2.368,2.31,2.091,1.883,1.458,1.297
Wind,0.072,0.078,0.08,0.07,0.07,0.064,0.039,0.035,0.039,0.071,0.076,0.083
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,131.897,117.526,129.487,123.486,127.016,127.631,132.98,134.024,122.919,128.408,129.023,135.047
Waste,15.236,13.718,15.056,14.384,13.728,12.47,13.126,13.332,12.559,14.323,14.569,15.034
Fuel Ethanol,1.448,1.344,1.525,1.496,1.594,1.594,1.572,1.636,1.529,1.585,1.553,1.548
Losses and Coproducts,71.066,63.327,70.015,64.114,68.977,66.679,67.955,70.744,66.504,69.821,70.77,71.461
Total,219.647,195.916,216.083,203.481,211.316,208.373,215.634,219.737,203.511,214.136,215.914,223.09
Total,222.376,198.653,219.566,207.242,215.402,212.188,219.452,223.296,206.677,217.218,218.908,225.741
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,90.809,84.296,95.669,93.839,99.999,99.951,98.595,102.597,95.914,99.39,97.39,97.103
Biodiesel,12.901,14.202,19.081,20.906,25.445,25.244,23.71,25.74,22.075,21.689,21.156,21.164
Other,2.872,2.647,2.889,2.609,3.378,3.543,2.499,2.306,1.978,1.79,1.268,1.867
Total,106.583,101.145,117.639,117.353,128.822,128.738,124.804,130.643,119.967,122.869,119.814,120.135
