,Jan 1986,Feb 1986,Mar 1986,Apr 1986,May 1986,Jun 1986,Jul 1986,Aug 1986,Sep 1986,Oct 1986,Nov 1986,Dec 1986
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,3.046,2.574,2.93,3.1,3.476,3.33,2.94,2.466,2.227,2.151,2.314,2.464
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,136.74,123.507,136.74,132.329,136.74,132.329,136.74,136.74,132.329,136.74,132.329,136.74
Waste,21.717,19.616,21.717,21.017,21.717,21.017,21.717,21.717,21.017,21.717,21.017,21.717
Fuel Ethanol,0.076,0.069,0.076,0.074,0.076,0.074,0.076,0.076,0.074,0.076,0.074,0.076
Losses and Coproducts,4.102,3.705,4.102,3.97,4.102,3.97,4.102,4.102,3.97,4.102,3.97,4.102
Total,162.635,146.897,162.635,157.389,162.635,157.389,162.635,162.635,157.389,162.635,157.389,162.635
Total,165.682,149.471,165.566,160.49,166.112,160.72,165.576,165.101,159.616,164.787,159.703,165.1
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,4.878,4.406,4.878,4.721,4.878,4.721,4.878,4.878,4.721,4.878,4.721,4.878
Biodiesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,4.878,4.406,4.878,4.721,4.878,4.721,4.878,4.878,4.721,4.878,4.721,4.878
