,Jan 1991,Feb 1991,Mar 1991,Apr 1991,May 1991,Jun 1991,Jul 1991,Aug 1991,Sep 1991,Oct 1991,Nov 1991,Dec 1991
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,2.761,2.367,2.78,2.765,3.049,2.764,2.618,2.337,1.986,1.902,1.989,2.358
Geothermal,0.178,0.161,0.178,0.173,0.178,0.173,0.178,0.178,0.173,0.178,0.173,0.178
Solar,0.002,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.004,0.004,0.003,0.003
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,149.887,100.769,99.871,80.455,91.365,97.872,97.542,132.112,150.615,134.153,126.706,148.5
Waste,15.626,14.09,15.728,15.363,15.948,15.335,15.51,15.778,15.208,15.304,15.279,15.505
Fuel Ethanol,0.085,0.077,0.085,0.082,0.085,0.082,0.085,0.085,0.082,0.085,0.082,0.085
Losses and Coproducts,4.795,4.331,4.795,4.641,4.795,4.641,4.795,4.795,4.641,4.795,4.641,4.795
Total,170.393,119.267,120.48,100.541,112.193,117.93,117.932,152.771,170.546,154.338,146.708,168.885
Total,173.335,121.797,123.442,103.482,115.425,120.872,120.733,155.291,172.709,156.422,148.873,171.425
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,5.953,5.377,5.953,5.761,5.953,5.761,5.953,5.953,5.761,5.953,5.761,5.953
Biodiesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,5.953,5.377,5.953,5.761,5.953,5.761,5.953,5.953,5.761,5.953,5.761,5.953
