,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,3.538,2.79,2.088,1.84,1.801,1.752,2.177,1.81,2.006,2.763,3.553,2.638
Geothermal,0.374,0.338,0.374,0.362,0.374,0.362,0.374,0.374,0.362,0.374,0.362,0.374
Solar,0.032,0.034,0.047,0.052,0.057,0.058,0.06,0.06,0.055,0.05,0.041,0.039
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,133.346,115.318,121.681,117.896,119.977,118.931,126.547,124.91,121.235,124.735,121.281,126.541
Waste,11.466,10.193,10.868,10.469,11.101,10.282,10.909,10.83,10.41,10.952,10.824,11.28
Fuel Ethanol,0.632,0.586,0.657,0.682,0.814,0.902,0.844,0.882,0.871,0.93,0.912,0.955
Losses and Coproducts,21.529,20.389,22.491,20.879,21.908,22.985,23.606,24.685,24.325,25.342,25.171,27.037
Total,166.972,146.487,155.697,149.926,153.8,153.1,161.906,161.308,156.841,161.959,158.188,165.813
Total,170.915,149.648,158.205,152.179,156.032,155.271,164.518,163.552,159.264,165.145,162.144,168.863
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,28.874,26.752,30.018,31.151,37.2,41.2,38.574,40.31,39.816,42.503,41.661,43.644
Biodiesel,1.645,1.152,2.124,2.07,2.965,3.796,2.717,3.559,3.338,3.182,3.087,3.658
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,30.519,27.904,32.142,33.221,40.164,44.996,41.291,43.869,43.154,45.685,44.748,47.302
