,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,1.196,1.065,1.312,1.186,1.103,0.911,0.957,0.853,0.603,0.813,0.641,1.077
Geothermal,0.356,0.333,0.356,0.344,0.356,0.344,0.356,0.356,0.344,0.356,0.344,0.356
Solar,1.058,1.167,1.599,1.742,1.923,1.929,2.0,1.959,1.775,1.629,1.297,1.191
Wind,0.076,0.069,0.065,0.06,0.049,0.042,0.032,0.027,0.035,0.052,0.061,0.086
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,126.751,118.51,121.447,115.26,120.854,121.133,124.085,124.402,116.908,119.521,121.972,142.932
Waste,15.0,14.516,15.839,14.925,14.973,12.94,13.701,13.727,13.004,15.063,15.169,15.568
Fuel Ethanol,1.392,1.421,1.518,1.407,1.535,1.535,1.57,1.591,1.49,1.514,1.494,1.573
Losses and Coproducts,66.299,62.73,67.481,61.486,66.187,66.442,68.719,69.594,65.618,67.716,67.058,71.329
Total,209.441,197.177,206.286,193.078,203.549,202.05,208.075,209.314,197.02,203.813,205.693,231.403
Total,212.128,199.811,209.618,196.409,206.979,205.276,211.42,212.508,199.777,206.662,208.036,234.113
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,88.18,90.024,96.208,89.149,97.244,97.255,99.496,100.825,94.435,95.906,94.637,99.692
Biodiesel,12.949,15.171,16.928,18.154,22.893,21.327,27.038,27.871,26.417,25.071,25.857,26.415
Other,2.67,1.786,2.56,2.67,2.56,3.356,2.653,3.257,2.604,3.322,3.4,2.713
Total,103.799,106.98,115.696,109.973,122.697,121.938,129.187,131.953,123.456,124.3,123.894,128.821
