,Jan 2019,Feb 2019
Industrial Sector,0.0,0.0
Hydroelectric Power,0.875,0.745
Geothermal,0.357,0.322
Solar,1.593,1.69
Wind,0.083,0.08
Biomass,0.0,0.0
Wood,130.528,118.201
Waste,14.865,13.555
Fuel Ethanol,1.436,1.413
Losses and Coproducts,67.173,60.736
Total,214.001,193.905
Total,216.909,196.743
Transportation Sector,0.0,0.0
Biomass,0.0,0.0
Fuel Ethanol,90.033,88.592
Biodiesel,15.92,16.882
Other,1.741,1.714
Total,107.694,107.188
