,Jan 1995,Feb 1995,Mar 1995,Apr 1995,May 1995,Jun 1995,Jul 1995,Aug 1995,Sep 1995,Oct 1995,Nov 1995,Dec 1995
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,4.376,4.407,5.027,4.324,4.889,5.319,4.834,4.289,3.524,4.074,4.494,5.139
Geothermal,0.255,0.23,0.255,0.247,0.255,0.247,0.255,0.255,0.247,0.255,0.247,0.255
Solar,0.004,0.004,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.006,0.005,0.005
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,122.494,99.519,122.772,142.472,116.187,108.699,170.075,175.706,147.99,164.079,143.796,138.289
Waste,16.382,14.684,16.011,16.45,15.591,16.222,16.535,16.725,16.214,16.939,16.576,16.696
Fuel Ethanol,0.127,0.115,0.142,0.131,0.11,0.139,0.104,0.086,0.116,0.154,0.18,0.138
Losses and Coproducts,7.992,7.263,7.865,7.621,7.436,7.097,6.649,6.35,6.527,6.887,6.493,7.449
Total,146.994,121.582,146.789,166.674,139.323,132.157,193.363,198.866,170.847,188.059,167.044,162.573
Total,151.629,126.223,152.077,171.251,144.473,137.729,198.459,203.418,174.624,192.393,171.79,167.971
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,9.237,8.42,10.344,9.554,8.003,10.163,7.579,6.267,8.461,11.239,13.139,10.084
Biodiesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,9.237,8.42,10.344,9.554,8.003,10.163,7.579,6.267,8.461,11.239,13.139,10.084
