,Jan 1998,Feb 1998,Mar 1998,Apr 1998,May 1998,Jun 1998,Jul 1998,Aug 1998,Sep 1998,Oct 1998,Nov 1998,Dec 1998
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,4.861,5.06,5.345,4.826,5.599,5.455,4.834,4.236,3.513,3.185,3.377,4.248
Geothermal,0.255,0.23,0.255,0.247,0.255,0.247,0.255,0.255,0.247,0.255,0.247,0.255
Solar,0.005,0.006,0.008,0.009,0.01,0.01,0.01,0.01,0.009,0.009,0.007,0.007
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,165.432,114.738,130.789,130.48,137.186,86.18,135.324,141.795,138.035,150.992,124.421,148.068
Waste,14.753,13.649,15.328,14.876,15.609,14.488,15.325,15.333,14.818,15.546,14.491,16.127
Fuel Ethanol,0.136,0.11,0.126,0.109,0.098,0.105,0.11,0.118,0.121,0.139,0.124,0.158
Losses and Coproducts,8.316,6.001,6.536,7.458,6.298,6.846,6.678,6.946,7.37,7.538,7.598,8.867
Total,188.638,134.498,152.778,152.923,159.19,107.619,157.438,164.192,160.345,174.215,146.634,173.22
Total,193.759,139.793,158.386,158.004,165.054,113.331,162.537,168.693,164.114,177.664,150.264,177.73
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,10.568,8.535,9.772,8.481,7.562,8.163,8.566,9.133,9.393,10.779,9.605,12.286
Biodiesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,10.568,8.535,9.772,8.481,7.562,8.163,8.566,9.133,9.393,10.779,9.605,12.286
